request_id,employee_id,leave_type,start_date,end_date,days_requested,status
90408,1062,Unpaid Leave,2025-04-28,2025-04-29,2,Approved
90368,1056,Casual Leave,2025-04-28,2025-04-29,2,Approved
90017,1003,Casual Leave,2025-04-28,2025-04-30,3,Approved
90210,1034,Casual Leave,2025-04-29,2025-04-30,2,Approved
90366,1055,Earned Leave,2025-05-01,2025-05-02,2,Approved
90141,1021,Sick Leave,2025-05-01,2025-05-01,1,Approved
90259,1041,Unpaid Leave,2025-05-04,2025-05-04,1,Rejected
90306,1047,Sick Leave,2025-05-05,2025-05-05,1,Approved
90072,1011,Earned Leave,2025-05-06,2025-05-08,3,Approved
90068,1011,Work From Home,2025-05-06,2025-05-07,2,Pending
90071,1011,Work From Home,2025-05-08,2025-05-08,1,Approved
90279,1044,Sick Leave,2025-05-08,2025-05-08,1,Approved
90112,1017,Sick Leave,2025-05-09,2025-05-11,3,Approved
90062,1011,Casual Leave,2025-05-09,2025-05-09,1,Approved
90077,1012,Earned Leave,2025-05-10,2025-05-11,2,Approved
90358,1055,Casual Leave,2025-05-11,2025-05-11,1,Pending
90277,1044,Unpaid Leave,2025-05-15,2025-05-15,1,Approved
90340,1052,Casual Leave,2025-05-16,2025-05-22,7,Approved
90059,1010,Earned Leave,2025-05-16,2025-05-16,1,Approved
90028,1004,Earned Leave,2025-05-17,2025-05-17,1,Approved
90364,1055,Sick Leave,2025-05-17,2025-05-23,7,Approved
90029,1004,Work From Home,2025-05-18,2025-05-18,1,Approved
90362,1055,Earned Leave,2025-05-21,2025-05-21,1,Approved
90150,1022,Earned Leave,2025-05-23,2025-05-25,3,Approved
90365,1055,Casual Leave,2025-05-26,2025-05-27,2,Approved
90205,1032,Work From Home,2025-05-27,2025-05-31,5,Approved
90135,1020,Earned Leave,2025-05-28,2025-05-28,1,Approved
90298,1046,Casual Leave,2025-05-29,2025-05-31,3,Rejected
90110,1017,Earned Leave,2025-05-30,2025-05-30,1,Approved
90146,1022,Earned Leave,2025-05-31,2025-06-01,2,Approved
90176,1028,Work From Home,2025-05-31,2025-05-31,1,Approved
90069,1011,Work From Home,2025-06-01,2025-06-01,1,Approved
90186,1030,Work From Home,2025-06-02,2025-06-02,1,Approved
90292,1045,Unpaid Leave,2025-06-07,2025-06-11,5,Approved
90367,1055,Sick Leave,2025-06-08,2025-06-09,2,Approved
90082,1013,Unpaid Leave,2025-06-08,2025-06-10,3,Approved
90213,1034,Earned Leave,2025-06-09,2025-06-09,1,Approved
90155,1022,Sick Leave,2025-06-09,2025-06-09,1,Approved
90283,1044,Sick Leave,2025-06-12,2025-06-12,1,Approved
90328,1050,Casual Leave,2025-06-13,2025-06-13,1,Approved
90035,1005,Earned Leave,2025-06-13,2025-06-13,1,Approved
90345,1052,Earned Leave,2025-06-15,2025-06-15,1,Approved
90391,1059,Casual Leave,2025-06-16,2025-06-20,5,Approved
90011,1002,Earned Leave,2025-06-19,2025-06-20,2,Approved
90396,1060,Casual Leave,2025-06-19,2025-06-20,2,Approved
90214,1034,Casual Leave,2025-06-21,2025-06-21,1,Approved
90330,1051,Unpaid Leave,2025-06-23,2025-06-29,7,Approved
90398,1060,Earned Leave,2025-06-25,2025-06-26,2,Approved
90038,1005,Casual Leave,2025-06-28,2025-06-28,1,Approved
90148,1022,Casual Leave,2025-06-28,2025-06-28,1,Approved
90224,1036,Casual Leave,2025-06-29,2025-06-29,1,Approved
90300,1046,Earned Leave,2025-06-30,2025-07-01,2,Approved
90117,1018,Work From Home,2025-07-02,2025-07-06,5,Approved
90065,1011,Casual Leave,2025-07-02,2025-07-06,5,Approved
90002,1001,Earned Leave,2025-07-03,2025-07-03,1,Approved
90004,1001,Sick Leave,2025-07-03,2025-07-05,3,Approved
90223,1036,Casual Leave,2025-07-05,2025-07-05,1,Approved
90295,1046,Work From Home,2025-07-07,2025-07-13,7,Approved
90387,1059,Casual Leave,2025-07-07,2025-07-09,3,Approved
90397,1060,Earned Leave,2025-07-08,2025-07-08,1,Approved
90222,1035,Casual Leave,2025-07-10,2025-07-10,1,Approved
90252,1040,Sick Leave,2025-07-11,2025-07-11,1,Approved
90404,1061,Casual Leave,2025-07-12,2025-07-13,2,Approved
90067,1011,Casual Leave,2025-07-12,2025-07-18,7,Approved
90324,1049,Sick Leave,2025-07-15,2025-07-15,1,Approved
90410,1062,Earned Leave,2025-07-16,2025-07-17,2,Approved
90226,1036,Casual Leave,2025-07-16,2025-07-17,2,Approved
90206,1032,Casual Leave,2025-07-19,2025-07-21,3,Approved
90063,1011,Sick Leave,2025-07-21,2025-07-21,1,Approved
90202,1032,Casual Leave,2025-07-23,2025-07-24,2,Approved
90217,1034,Sick Leave,2025-07-26,2025-08-01,7,Approved
90184,1029,Casual Leave,2025-07-29,2025-07-29,1,Approved
90299,1046,Earned Leave,2025-07-31,2025-07-31,1,Approved
90106,1016,Earned Leave,2025-08-01,2025-08-01,1,Pending
90329,1050,Sick Leave,2025-08-02,2025-08-02,1,Approved
90216,1034,Work From Home,2025-08-05,2025-08-06,2,Approved
90412,1062,Casual Leave,2025-08-07,2025-08-07,1,Approved
90044,1006,Sick Leave,2025-08-11,2025-08-11,1,Approved
90266,1042,Casual Leave,2025-08-12,2025-08-12,1,Approved
90344,1052,Casual Leave,2025-08-13,2025-08-15,3,Approved
90318,1049,Sick Leave,2025-08-15,2025-08-15,1,Approved
90182,1029,Sick Leave,2025-08-21,2025-08-21,1,Approved
90402,1061,Work From Home,2025-08-21,2025-08-21,1,Approved
90092,1014,Earned Leave,2025-08-23,2025-08-24,2,Approved
90113,1017,Sick Leave,2025-08-24,2025-08-24,1,Approved
90270,1042,Casual Leave,2025-08-26,2025-08-28,3,Approved
90179,1028,Casual Leave,2025-08-28,2025-08-28,1,Approved
90003,1001,Earned Leave,2025-08-29,2025-08-29,1,Approved
90198,1032,Casual Leave,2025-08-29,2025-09-07,10,Approved
90045,1006,Casual Leave,2025-08-30,2025-09-03,5,Approved
90360,1055,Casual Leave,2025-08-30,2025-08-31,2,Approved
90363,1055,Casual Leave,2025-09-01,2025-09-02,2,Approved
90180,1029,Casual Leave,2025-09-01,2025-09-02,2,Approved
90081,1013,Casual Leave,2025-09-01,2025-09-01,1,Approved
90310,1047,Casual Leave,2025-09-01,2025-09-01,1,Approved
90241,1038,Casual Leave,2025-09-02,2025-09-03,2,Rejected
90218,1034,Casual Leave,2025-09-02,2025-09-06,5,Approved
90094,1014,Earned Leave,2025-09-06,2025-09-08,3,Approved
90159,1024,Earned Leave,2025-09-06,2025-09-06,1,Rejected
90390,1059,Casual Leave,2025-09-07,2025-09-07,1,Pending
90129,1019,Sick Leave,2025-09-10,2025-09-10,1,Rejected
90095,1014,Sick Leave,2025-09-14,2025-09-18,5,Approved
90162,1024,Casual Leave,2025-09-18,2025-09-22,5,Approved
90297,1046,Sick Leave,2025-09-18,2025-09-22,5,Approved
90199,1032,Casual Leave,2025-09-20,2025-09-26,7,Approved
90080,1013,Casual Leave,2025-09-21,2025-09-22,2,Approved
90084,1013,Earned Leave,2025-09-22,2025-09-28,7,Approved
90042,1005,Casual Leave,2025-09-27,2025-09-29,3,Approved
90294,1046,Casual Leave,2025-09-29,2025-10-01,3,Approved
90174,1028,Earned Leave,2025-10-02,2025-10-02,1,Approved
90260,1041,Earned Leave,2025-10-02,2025-10-02,1,Pending
90031,1004,Casual Leave,2025-10-04,2025-10-04,1,Approved
90377,1058,Work From Home,2025-10-04,2025-10-06,3,Approved
90336,1051,Earned Leave,2025-10-04,2025-10-04,1,Approved
90393,1060,Sick Leave,2025-10-05,2025-10-05,1,Pending
90256,1041,Work From Home,2025-10-07,2025-10-08,2,Approved
90013,1002,Sick Leave,2025-10-09,2025-10-13,5,Approved
90325,1049,Sick Leave,2025-10-13,2025-10-14,2,Approved
90243,1039,Casual Leave,2025-10-14,2025-10-14,1,Rejected
90115,1018,Sick Leave,2025-10-15,2025-10-15,1,Approved
90392,1060,Earned Leave,2025-10-16,2025-10-17,2,Approved
90061,1010,Earned Leave,2025-10-17,2025-10-17,1,Rejected
90339,1052,Work From Home,2025-10-17,2025-10-17,1,Approved
90268,1042,Casual Leave,2025-10-19,2025-10-23,5,Approved
90024,1004,Sick Leave,2025-10-25,2025-10-26,2,Approved
90104,1016,Casual Leave,2025-10-25,2025-10-25,1,Approved
90139,1020,Sick Leave,2025-10-27,2025-10-27,1,Approved
90089,1014,Casual Leave,2025-10-31,2025-10-31,1,Approved
90125,1019,Earned Leave,2025-11-01,2025-11-01,1,Approved
90385,1058,Casual Leave,2025-11-02,2025-11-02,1,Approved
90086,1013,Sick Leave,2025-11-06,2025-11-08,3,Approved
90151,1022,Casual Leave,2025-11-06,2025-11-06,1,Approved
90075,1012,Work From Home,2025-11-07,2025-11-07,1,Approved
90053,1008,Earned Leave,2025-11-09,2025-11-09,1,Approved
90370,1056,Casual Leave,2025-11-13,2025-11-13,1,Approved
90395,1060,Work From Home,2025-11-14,2025-11-14,1,Approved
90023,1004,Earned Leave,2025-11-17,2025-11-19,3,Approved
90093,1014,Earned Leave,2025-11-17,2025-11-17,1,Rejected
90394,1060,Unpaid Leave,2025-11-17,2025-11-21,5,Pending
90007,1002,Sick Leave,2025-11-18,2025-11-20,3,Approved
90116,1018,Casual Leave,2025-11-20,2025-11-21,2,Rejected
90188,1030,Sick Leave,2025-11-20,2025-11-21,2,Approved
90054,1008,Casual Leave,2025-11-22,2025-11-24,3,Approved
90060,1010,Casual Leave,2025-11-23,2025-11-23,1,Approved
90349,1054,Earned Leave,2025-11-23,2025-11-23,1,Approved
90015,1002,Casual Leave,2025-11-23,2025-11-23,1,Approved
90249,1040,Work From Home,2025-11-25,2025-11-27,3,Approved
90375,1057,Work From Home,2025-11-26,2025-11-26,1,Approved
90276,1043,Casual Leave,2025-11-30,2025-11-30,1,Approved
90046,1006,Sick Leave,2025-12-01,2025-12-01,1,Approved
90195,1031,Earned Leave,2025-12-02,2025-12-06,5,Rejected
90097,1014,Sick Leave,2025-12-02,2025-12-04,3,Approved
90016,1003,Casual Leave,2025-12-02,2025-12-06,5,Approved
90103,1015,Earned Leave,2025-12-04,2025-12-06,3,Approved
90351,1054,Earned Leave,2025-12-05,2025-12-11,7,Approved
90134,1020,Casual Leave,2025-12-05,2025-12-07,3,Approved
90400,1060,Sick Leave,2025-12-05,2025-12-06,2,Pending
90373,1057,Earned Leave,2025-12-06,2025-12-15,10,Approved
90248,1040,Work From Home,2025-12-10,2025-12-12,3,Approved
90136,1020,Earned Leave,2025-12-13,2025-12-13,1,Approved
90285,1044,Sick Leave,2025-12-14,2025-12-14,1,Rejected
90353,1054,Earned Leave,2025-12-15,2025-12-15,1,Pending
90196,1031,Earned Leave,2025-12-16,2025-12-16,1,Approved
90379,1058,Earned Leave,2025-12-17,2025-12-17,1,Approved
90138,1020,Sick Leave,2025-12-17,2025-12-17,1,Approved
90284,1044,Work From Home,2025-12-19,2025-12-19,1,Approved
90301,1046,Work From Home,2025-12-21,2025-12-21,1,Approved
90263,1042,Earned Leave,2025-12-22,2025-12-24,3,Approved
90228,1036,Work From Home,2025-12-22,2025-12-22,1,Rejected
90338,1051,Casual Leave,2025-12-24,2025-12-24,1,Approved
90378,1058,Sick Leave,2025-12-26,2026-01-01,7,Rejected
90341,1052,Casual Leave,2025-12-26,2025-12-30,5,Approved
90012,1002,Casual Leave,2025-12-26,2025-12-27,2,Approved
90417,1062,Sick Leave,2025-12-28,2025-12-28,1,Approved
90414,1062,Earned Leave,2025-12-30,2025-12-30,1,Approved
90073,1012,Work From Home,2025-12-31,2025-12-31,1,Rejected
90320,1049,Casual Leave,2026-01-02,2026-01-02,1,Rejected
90361,1055,Casual Leave,2026-01-02,2026-01-02,1,Approved
90005,1001,Casual Leave,2026-01-03,2026-01-03,1,Approved
90021,1003,Casual Leave,2026-01-04,2026-01-04,1,Approved
90192,1031,Casual Leave,2026-01-06,2026-01-06,1,Approved
90185,1030,Sick Leave,2026-01-07,2026-01-08,2,Approved
90105,1016,Earned Leave,2026-01-08,2026-01-09,2,Approved
90052,1008,Casual Leave,2026-01-09,2026-01-09,1,Approved
90160,1024,Earned Leave,2026-01-10,2026-01-12,3,Approved
90119,1018,Earned Leave,2026-01-11,2026-01-13,3,Approved
90280,1044,Sick Leave,2026-01-11,2026-01-11,1,Approved
90051,1008,Casual Leave,2026-01-14,2026-01-14,1,Approved
90100,1015,Sick Leave,2026-01-15,2026-01-17,3,Approved
90020,1003,Unpaid Leave,2026-01-16,2026-01-16,1,Approved
90381,1058,Sick Leave,2026-01-17,2026-01-17,1,Approved
90207,1033,Casual Leave,2026-01-18,2026-01-22,5,Approved
90102,1015,Casual Leave,2026-01-18,2026-01-27,10,Approved
90291,1045,Earned Leave,2026-01-19,2026-01-19,1,Rejected
90204,1032,Casual Leave,2026-01-19,2026-01-19,1,Approved
90271,1042,Casual Leave,2026-01-22,2026-01-22,1,Approved
90047,1006,Earned Leave,2026-01-24,2026-01-28,5,Approved
90076,1012,Earned Leave,2026-01-24,2026-02-02,10,Pending
90181,1029,Work From Home,2026-01-25,2026-01-25,1,Approved
90178,1028,Earned Leave,2026-01-26,2026-01-26,1,Pending
90376,1058,Casual Leave,2026-01-28,2026-01-29,2,Approved
90293,1046,Unpaid Leave,2026-01-28,2026-01-29,2,Approved
90108,1016,Casual Leave,2026-01-29,2026-01-29,1,Approved
90056,1009,Casual Leave,2026-01-29,2026-01-29,1,Approved
90382,1058,Casual Leave,2026-01-29,2026-01-29,1,Approved
90322,1049,Earned Leave,2026-01-30,2026-01-30,1,Pending
90193,1031,Casual Leave,2026-01-31,2026-01-31,1,Approved
90050,1008,Earned Leave,2026-02-04,2026-02-04,1,Approved
90197,1032,Work From Home,2026-02-07,2026-02-07,1,Approved
90267,1042,Sick Leave,2026-02-09,2026-02-15,7,Rejected
90321,1049,Casual Leave,2026-02-10,2026-02-11,2,Approved
90352,1054,Work From Home,2026-02-12,2026-02-12,1,Approved
90281,1044,Casual Leave,2026-02-12,2026-02-13,2,Approved
90274,1043,Sick Leave,2026-02-14,2026-02-16,3,Approved
90337,1051,Earned Leave,2026-02-14,2026-02-16,3,Approved
90313,1048,Unpaid Leave,2026-02-19,2026-02-20,2,Approved
90090,1014,Casual Leave,2026-02-19,2026-02-19,1,Approved
90143,1021,Casual Leave,2026-02-20,2026-02-21,2,Approved
90262,1041,Casual Leave,2026-02-21,2026-02-22,2,Approved
90096,1014,Earned Leave,2026-02-24,2026-02-24,1,Rejected
90111,1017,Casual Leave,2026-02-28,2026-02-28,1,Approved
90107,1016,Unpaid Leave,2026-03-03,2026-03-09,7,Pending
90127,1019,Casual Leave,2026-03-06,2026-03-06,1,Approved
90246,1040,Earned Leave,2026-03-07,2026-03-08,2,Approved
90091,1014,Earned Leave,2026-03-08,2026-03-12,5,Approved
90380,1058,Earned Leave,2026-03-08,2026-03-08,1,Approved
90153,1022,Work From Home,2026-03-08,2026-03-09,2,Approved
90323,1049,Sick Leave,2026-03-09,2026-03-11,3,Approved
90251,1040,Casual Leave,2026-03-09,2026-03-10,2,Approved
90272,1042,Earned Leave,2026-03-10,2026-03-10,1,Approved
90334,1051,Earned Leave,2026-03-10,2026-03-10,1,Approved
90001,1001,Sick Leave,2026-03-12,2026-03-12,1,Approved
90114,1017,Sick Leave,2026-03-13,2026-03-14,2,Approved
90278,1044,Casual Leave,2026-03-18,2026-03-22,5,Approved
90357,1054,Earned Leave,2026-03-18,2026-03-18,1,Approved
90312,1048,Casual Leave,2026-03-19,2026-03-20,2,Approved
90316,1048,Earned Leave,2026-03-22,2026-03-22,1,Pending
90043,1005,Work From Home,2026-03-23,2026-03-24,2,Pending
90126,1019,Casual Leave,2026-03-26,2026-03-27,2,Approved
90212,1034,Casual Leave,2026-03-26,2026-03-30,5,Approved
90261,1041,Casual Leave,2026-03-27,2026-03-27,1,Approved
90221,1035,Work From Home,2026-03-30,2026-03-30,1,Approved
90356,1054,Work From Home,2026-03-31,2026-04-02,3,Approved
90269,1042,Work From Home,2026-04-05,2026-04-05,1,Approved
90030,1004,Earned Leave,2026-04-07,2026-04-07,1,Rejected
90079,1012,Earned Leave,2026-04-07,2026-04-08,2,Approved
90122,1019,Casual Leave,2026-04-08,2026-04-08,1,Rejected
90018,1003,Earned Leave,2026-04-09,2026-04-10,2,Rejected
90101,1015,Sick Leave,2026-04-10,2026-04-10,1,Pending
90386,1058,Casual Leave,2026-04-15,2026-04-15,1,Approved
90383,1058,Work From Home,2026-04-16,2026-04-20,5,Approved
90409,1062,Sick Leave,2026-04-17,2026-04-19,3,Approved
90245,1039,Casual Leave,2026-04-19,2026-04-21,3,Approved
90342,1052,Work From Home,2026-04-19,2026-04-19,1,Approved
90289,1045,Earned Leave,2026-04-21,2026-04-21,1,Approved
90040,1005,Earned Leave,2026-04-22,2026-04-22,1,Approved
90055,1008,Unpaid Leave,2026-04-23,2026-04-23,1,Approved
90308,1047,Work From Home,2026-04-24,2026-04-25,2,Approved
90371,1056,Casual Leave,2026-04-25,2026-04-26,2,Approved
90273,1043,Sick Leave,2026-04-27,2026-04-27,1,Approved
90354,1054,Casual Leave,2026-04-29,2026-05-01,3,Approved
90156,1022,Casual Leave,2026-04-29,2026-04-29,1,Approved
90265,1042,Sick Leave,2026-05-04,2026-05-04,1,Approved
90331,1051,Sick Leave,2026-05-05,2026-05-06,2,Approved
90039,1005,Casual Leave,2026-05-05,2026-05-07,3,Approved
90014,1002,Casual Leave,2026-05-07,2026-05-07,1,Approved
90194,1031,Sick Leave,2026-05-08,2026-05-12,5,Pending
90215,1034,Unpaid Leave,2026-05-10,2026-05-10,1,Approved
90201,1032,Casual Leave,2026-05-11,2026-05-11,1,Approved
90190,1030,Casual Leave,2026-05-13,2026-05-14,2,Rejected
90374,1057,Sick Leave,2026-05-16,2026-05-22,7,Approved
90225,1036,Casual Leave,2026-05-23,2026-05-25,3,Approved
90131,1019,Work From Home,2026-05-25,2026-05-26,2,Approved
90177,1028,Casual Leave,2026-05-27,2026-05-27,1,Approved
90275,1043,Earned Leave,2026-05-27,2026-05-27,1,Approved
90315,1048,Sick Leave,2026-05-28,2026-06-01,5,Rejected
90388,1059,Sick Leave,2026-05-29,2026-05-31,3,Approved
90008,1002,Earned Leave,2026-06-01,2026-06-05,5,Approved
90140,1021,Casual Leave,2026-06-03,2026-06-03,1,Approved
90384,1058,Unpaid Leave,2026-06-04,2026-06-06,3,Approved
90191,1031,Sick Leave,2026-06-06,2026-06-06,1,Approved
90406,1061,Earned Leave,2026-06-10,2026-06-14,5,Approved
90282,1044,Sick Leave,2026-06-10,2026-06-10,1,Approved
90305,1047,Earned Leave,2026-06-11,2026-06-20,10,Approved
90118,1018,Sick Leave,2026-06-12,2026-06-13,2,Pending
90288,1045,Earned Leave,2026-06-14,2026-06-16,3,Approved
90314,1048,Casual Leave,2026-06-14,2026-06-14,1,Approved
90250,1040,Earned Leave,2026-06-14,2026-06-14,1,Approved
90033,1005,Casual Leave,2026-06-15,2026-06-17,3,Rejected
90037,1005,Sick Leave,2026-06-15,2026-06-16,2,Approved
90227,1036,Earned Leave,2026-06-17,2026-06-17,1,Approved
90083,1013,Casual Leave,2026-06-19,2026-06-19,1,Pending
90027,1004,Casual Leave,2026-06-20,2026-06-20,1,Approved
90416,1062,Earned Leave,2026-06-22,2026-06-28,7,Approved
90137,1020,Work From Home,2026-06-23,2026-06-24,2,Approved
90183,1029,Sick Leave,2026-06-24,2026-06-24,1,Approved
90264,1042,Sick Leave,2026-06-25,2026-06-25,1,Approved
90099,1015,Work From Home,2026-06-25,2026-06-25,1,Approved
90347,1054,Sick Leave,2026-06-25,2026-06-25,1,Approved
90401,1061,Sick Leave,2026-06-27,2026-06-27,1,Approved
90123,1019,Work From Home,2026-07-02,2026-07-02,1,Approved
90048,1006,Work From Home,2026-07-04,2026-07-04,1,Approved
90287,1045,Sick Leave,2026-07-04,2026-07-06,3,Pending
90244,1039,Work From Home,2026-07-09,2026-07-10,2,Approved
90350,1054,Work From Home,2026-07-11,2026-07-11,1,Approved
90332,1051,Work From Home,2026-07-16,2026-07-16,1,Approved
90348,1054,Earned Leave,2026-07-17,2026-07-17,1,Approved
90333,1051,Work From Home,2026-07-19,2026-07-19,1,Approved
90036,1005,Casual Leave,2026-07-19,2026-07-20,2,Approved
90304,1047,Work From Home,2026-07-21,2026-07-22,2,Rejected
90405,1061,Sick Leave,2026-07-22,2026-07-22,1,Approved
90327,1050,Work From Home,2026-07-23,2026-07-23,1,Approved
90355,1054,Sick Leave,2026-07-23,2026-07-29,7,Approved
90109,1016,Casual Leave,2026-07-26,2026-07-28,3,Approved
90359,1055,Sick Leave,2026-07-27,2026-07-27,1,Pending
90032,1004,Earned Leave,2026-07-30,2026-08-03,5,Approved
